iter	MultiClass
0	1.309250246
1	1.244355228
2	1.188754746
3	1.13896993
4	1.095680773
5	1.05523008
6	1.019619111
7	0.9872793944
8	0.9585530693
9	0.9304715607
10	0.9039297815
11	0.881042852
12	0.8593232703
13	0.8389675314
14	0.8207671225
15	0.8033761996
16	0.786884132
17	0.7721972037
18	0.7579549896
19	0.7455580051
20	0.7338910706
21	0.7211881143
22	0.709401716
23	0.6992430807
24	0.6890873216
25	0.6791765203
26	0.6694823863
27	0.6604825363
28	0.6516368449
29	0.6432192177
30	0.6355625666
31	0.6283681467
32	0.6209065516
33	0.6141785149
34	0.6074682542
35	0.6009906969
36	0.5951421469
37	0.5895066397
38	0.5840123805
39	0.5782414534
40	0.5730756055
41	0.5679521177
42	0.5630826205
43	0.558628359
44	0.5541424921
45	0.5496952017
46	0.5454388699
47	0.5411186829
48	0.5372866179
49	0.5329865577
50	0.5289744236
51	0.5251098165
52	0.5217979668
53	0.5185887822
54	0.5156533072
55	0.5122142273
56	0.5091931813
57	0.5062746804
58	0.5033522356
59	0.499835113
60	0.4973792161
61	0.4950798979
62	0.4924874851
63	0.4902373678
64	0.4876813469
65	0.4845717489
66	0.4822754628
67	0.4799644404
68	0.4779707081
69	0.4754838903
70	0.4729218271
71	0.4709261576
72	0.4684794621
73	0.4664563926
74	0.4647046254
75	0.4627755732
76	0.4607305272
77	0.4586714908
78	0.4565792302
79	0.4547149896
80	0.4529248384
81	0.4508118011
82	0.4491878964
83	0.4473770307
84	0.4452594567
85	0.4437597409
86	0.442096239
87	0.4407520369
88	0.4389690284
89	0.4371036171
90	0.4353134292
91	0.433787878
92	0.4324980673
93	0.4308653297
94	0.429485757
95	0.4280383988
96	0.4268650392
97	0.4251924935
98	0.4235488162
99	0.4223892378
100	0.4204916063
101	0.4189138335
102	0.4174803716
103	0.4159710861
104	0.4146101547
105	0.4131850541
106	0.4116302673
107	0.4104201832
108	0.4091949505
109	0.4080574089
110	0.4066273279
111	0.4053013557
112	0.4041260987
113	0.4025497401
114	0.4011812099
115	0.4001009006
116	0.3990257118
117	0.3979822224
118	0.3970687566
119	0.3961498848
120	0.3950352272
121	0.3940014483
122	0.3929362245
123	0.391804087
124	0.3907120653
125	0.3897082974
126	0.3887426753
127	0.3877864391
128	0.3868004716
129	0.3859821038
130	0.3850728053
131	0.3840891382
132	0.3830424122
133	0.3820845374
134	0.3809131822
135	0.3801790958
136	0.3794474228
137	0.378588896
138	0.3777741196
139	0.3769148169
140	0.3762168868
141	0.3751201785
142	0.374168068
143	0.3732488327
144	0.3723455449
145	0.3717664914
146	0.3708024447
147	0.3700435335
148	0.3691936409
149	0.3685426211
150	0.3676667681
151	0.3669800676
152	0.3663663847
153	0.3655872996
154	0.364885541
155	0.3641814632
156	0.3636828035
157	0.3630443665
158	0.3624050213
159	0.3615963691
160	0.3609389625
161	0.3600810749
162	0.3594876435
163	0.3589712626
164	0.3582692661
165	0.3575419475
166	0.3568585807
167	0.3562231356
168	0.3555275575
169	0.3549133168
170	0.3543941028
171	0.3538692095
172	0.3531038217
173	0.352660053
174	0.3521977517
175	0.351638454
176	0.350949823
177	0.3504014364
178	0.3498218317
179	0.3493337624
180	0.3488021
181	0.3482898182
182	0.3479035332
183	0.3471931214
184	0.3467284607
185	0.3463190824
186	0.3458743347
187	0.3455649421
188	0.3451167838
189	0.3446997918
190	0.3440915188
191	0.3435322476
192	0.34299221
193	0.3423934834
194	0.3420176802
195	0.3416300327
196	0.3411361361
197	0.3406068767
198	0.3399685777
199	0.3395725691
200	0.3391110673
201	0.3387614993
202	0.3382435964
203	0.3378362635
204	0.3373028985
205	0.3368530444
206	0.3364756339
207	0.3358697993
208	0.3354721066
209	0.3349661362
210	0.334553951
211	0.3338570731
212	0.3334194684
213	0.3330156704
214	0.3326290904
215	0.3322602098
216	0.3318900088
217	0.3316136284
218	0.3311175072
219	0.330745126
220	0.3303382061
221	0.3299304956
222	0.3295274386
223	0.3291857597
224	0.3288354918
225	0.3285058845
226	0.3280984829
227	0.3277535463
228	0.3274421378
229	0.3269556225
230	0.3265218184
231	0.3261713339
232	0.325805725
233	0.3254624768
234	0.325084495
235	0.3247660679
236	0.3244081052
237	0.3240586171
238	0.3237148682
239	0.3233405225
240	0.322955945
241	0.3226156749
242	0.3220587127
243	0.3216834596
244	0.3213311122
245	0.3209136168
246	0.3206063675
247	0.3203100599
248	0.3200266582
249	0.3197273403
250	0.3192905897
251	0.3189556948
252	0.3186163034
253	0.3183765499
254	0.318078918
255	0.3177722063
256	0.3174224676
257	0.3171315722
258	0.3168930654
259	0.3165615089
260	0.3162762432
261	0.3160668448
262	0.3157997098
263	0.3154346974
264	0.3151295089
265	0.3147476864
266	0.3144375849
267	0.3141421106
268	0.3138788913
269	0.3135714484
270	0.3132253242
271	0.3129793727
272	0.3126603266
273	0.312245687
274	0.3119218933
275	0.3116280889
276	0.3112701308
277	0.3110086602
278	0.3108308872
279	0.3106364172
280	0.3103737909
281	0.3100759244
282	0.3098187917
283	0.3096542549
284	0.3093445371
285	0.3090762351
286	0.3088993608
287	0.3086161607
288	0.3083034333
289	0.3080567389
290	0.307650024
291	0.3073036569
292	0.3070243502
293	0.3067165232
294	0.3064884322
295	0.3062391366
296	0.3059222568
297	0.3056346134
298	0.3054227878
299	0.3051762802
